experiment_id,session_id,file_name,date_start,date_end,operator,drive_model,motor_model,experiment_type,regime_label,risk_label,recording_purpose,dataset_split,load_type,direction,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,duration_s,sample_rate_hz,stop_condition,session_status,is_artificial_anomaly,operator_comment
A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R01_20260611_141919,A1_HOLDING_SERVO_ON_R01_20260611_141919.sqlite3,2026-06-11 14:19:19,2026-06-11 14:21:20,,,,holding,holding,normal,training,unassigned,no_load,none,,,,1000,1000,120.616,10.0,timer,ok,0,"A1: Servo ON, shaft stationary"
A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_142122,A2_HOLD_AFTER_MOVE_R01_20260611_142122.sqlite3,2026-06-11 14:21:22,2026-06-11 14:23:23,,,,holding,holding,normal,training,unassigned,no_load,none,,,,1000,1000,120.621,10.0,timer,ok,0,A2: hold position after move
A3_ROTATE_ONE_DIR,A3_ROTATE_ONE_DIR_R01_20260611_142325,A3_ROTATE_ONE_DIR_R01_20260611_142325.sqlite3,2026-06-11 14:23:25,2026-06-11 14:24:56,,,,constant_speed,constant_speed,normal,training,unassigned,no_load,cw,,300,,1000,1000,90.665,10.0,timer,ok,0,A3: rotate CW low speed
A4_ROTATE_BOTH_DIRS,A4_ROTATE_BOTH_DIRS_R01_20260611_142458,A4_ROTATE_BOTH_DIRS_R01_20260611_142458.sqlite3,2026-06-11 14:24:58,2026-06-11 14:26:29,,,,reversal,reversal,normal,training,unassigned,no_load,both,,300,,1000,1000,90.661,10.0,timer,ok,0,A4: rotate both directions
B4_REVERSAL,B4_REVERSAL_R01_20260611_143109,B4_REVERSAL_R01_20260611_143109.sqlite3,2026-06-11 14:31:09,2026-06-11 14:32:40,,,,reversal,reversal,transition,training,unassigned,no_load,both,,600,,1000,1000,90.703,10.0,timer,ok,0,B4: reversal
B5_CYCLIC,B5_CYCLIC_R01_20260611_143242,B5_CYCLIC_R01_20260611_143242.sqlite3,2026-06-11 14:32:42,2026-06-11 14:37:43,,,,cyclic,cyclic,transition,training,unassigned,no_load,both,,600,,1000,1000,300.647,10.0,timer,ok,0,B5: cyclic back-and-forth
C1_SPEED_300,C1_SPEED_300_R01_20260611_143748,C1_SPEED_300_R01_20260611_143748.sqlite3,2026-06-11 14:37:49,2026-06-11 14:38:50,,,,constant_speed,constant_speed,normal,training,unassigned,no_load,cw,,300,,1000,1000,60.697,10.0,timer,ok,0,C1: 300 rpm
C2_SPEED_600,C2_SPEED_600_R01_20260611_143856,C2_SPEED_600_R01_20260611_143856.sqlite3,2026-06-11 14:38:57,2026-06-11 14:39:58,,,,constant_speed,constant_speed,normal,training,unassigned,no_load,cw,,600,,1000,1000,60.842,10.0,timer,ok,0,C2: 600 rpm
C3_SPEED_900,C3_SPEED_900_R01_20260611_144003,C3_SPEED_900_R01_20260611_144003.sqlite3,2026-06-11 14:40:04,2026-06-11 14:41:05,,,,constant_speed,constant_speed,normal,training,unassigned,no_load,cw,,900,,1000,1000,60.945,10.0,timer,ok,0,C3: 900 rpm
C4_SPEED_1200,C4_SPEED_1200_R01_20260611_144110,C4_SPEED_1200_R01_20260611_144110.sqlite3,2026-06-11 14:41:11,2026-06-11 14:42:12,,,,constant_speed,constant_speed,transition,training,unassigned,no_load,cw,,1200,,1000,1000,61.028,10.0,timer,ok,0,C4: 1200 rpm
C5_SPEED_1500,C5_SPEED_1500_R01_20260611_144217,C5_SPEED_1500_R01_20260611_144217.sqlite3,2026-06-11 14:42:19,2026-06-11 14:43:19,,,,constant_speed,constant_speed,transition,training,unassigned,no_load,cw,,1500,,1000,1000,60.841,10.0,timer,ok,0,C5: 1500 rpm
D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R01_20260611_144324,D1_LONG_CYCLE_LOW_R01_20260611_144324.sqlite3,2026-06-11 14:43:25,2026-06-11 14:53:26,,,,cyclic,cyclic,normal,training,unassigned,no_load,both,,600,,1000,1000,600.679,10.0,timer,ok,0,"D1: long cycle, low speed"
D2_LONG_CYCLE_MED,D2_LONG_CYCLE_MED_R01_20260611_145332,D2_LONG_CYCLE_MED_R01_20260611_145332.sqlite3,2026-06-11 14:53:33,2026-06-11 15:03:34,,,,cyclic,cyclic,transition,training,unassigned,no_load,both,,900,,1000,1000,600.980,10.0,timer,ok,0,"D2: long cycle, medium speed"
D3_LONG_CYCLE_HARD,D3_LONG_CYCLE_HARD_R01_20260611_150338,D3_LONG_CYCLE_HARD_R01_20260611_150338.sqlite3,2026-06-11 15:03:38,2026-06-11 15:13:39,,,,cyclic,cyclic,elevated_load,training,unassigned,no_load,both,,1200,,1500,1500,600.650,10.0,timer,ok,0,"D3: long cycle, frequent acc/dec"
B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_155606,B1_ACC_DEC_SLOW_R01_20260611_155606.sqlite3,2026-06-11 15:56:07,2026-06-11 15:57:37,,,,acceleration,acceleration,normal,training,unassigned,no_load,cw,,600,,500,500,90.605,10.0,timer,ok,0,B1: slow acc/dec
B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R01_20260611_155746,B2_ACC_DEC_MEDIUM_R01_20260611_155746.sqlite3,2026-06-11 15:57:47,2026-06-11 15:59:18,,,,acceleration,acceleration,transition,training,unassigned,no_load,cw,,900,,1500,1500,90.746,10.0,timer,ok,0,B2: medium acc/dec
B3_ACC_DEC_SHARP,B3_ACC_DEC_SHARP_R01_20260611_155927,B3_ACC_DEC_SHARP_R01_20260611_155927.sqlite3,2026-06-11 15:59:28,2026-06-11 16:00:59,,,,acceleration,acceleration,elevated_load,training,unassigned,no_load,cw,,1200,,3000,3000,90.731,10.0,timer,ok,0,B3: sharp but allowed acc/dec
E1_LOAD_LOW_INERTIA,E1_LOAD_LOW_INERTIA_R01_20260611_163136,E1_LOAD_LOW_INERTIA_R01_20260611_163136.sqlite3,2026-06-11 16:31:36,2026-06-11 16:33:37,,,,load_low,load_low,elevated_load,training,unassigned,inertia_small,cw,,600,,1000,1000,120.838,10.0,timer,ok,0,E1: small inertia load (approved)
E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R01_20260611_163848,E2_LOAD_MED_INERTIA_R01_20260611_163848.sqlite3,2026-06-11 16:38:49,2026-06-11 16:40:50,,,,load_medium,load_medium,pre_emergency_proxy,training,unassigned,inertia_medium,cw,,600,,1000,1000,120.901,10.0,timer,ok,0,"E2: medium inertia, pre-emergency proxy"
E1_LOAD_LOW_INERTIA,E1_LOAD_LOW_INERTIA_R02_20260611_165448,E1_LOAD_LOW_INERTIA_R02_20260611_165448.sqlite3,2026-06-11 16:54:48,2026-06-11 16:56:49,,,,load_low,load_low,elevated_load,training,unassigned,inertia_small,cw,,600,,1000,1000,120.814,10.0,timer,ok,0,E1: small inertia load (approved)
E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,E2_LOAD_MED_INERTIA_R02_20260611_165930.sqlite3,2026-06-11 16:59:30,2026-06-11 17:01:31,,,,load_medium,load_medium,pre_emergency_proxy,training,unassigned,inertia_medium,cw,,600,,1000,1000,120.827,10.0,timer,ok,0,"E2: medium inertia, pre-emergency proxy"
C1_SPEED_300,C1_SPEED_300_R02_20260611_170335,C1_SPEED_300_R02_20260611_170335.sqlite3,2026-06-11 17:03:35,2026-06-11 17:04:36,,,,constant_speed,constant_speed,normal,training,unassigned,no_load,cw,,300,,1000,1000,60.809,10.0,timer,ok,0,C1: 300 rpm
C2_SPEED_600,C2_SPEED_600_R02_20260611_170453,C2_SPEED_600_R02_20260611_170453.sqlite3,2026-06-11 17:04:53,2026-06-11 17:05:54,,,,constant_speed,constant_speed,normal,training,unassigned,no_load,cw,,600,,1000,1000,60.819,10.0,timer,ok,0,C2: 600 rpm
C3_SPEED_900,C3_SPEED_900_R02_20260611_170559,C3_SPEED_900_R02_20260611_170559.sqlite3,2026-06-11 17:06:00,2026-06-11 17:07:00,,,,constant_speed,constant_speed,normal,training,unassigned,no_load,cw,,900,,1000,1000,60.605,10.0,timer,ok,0,C3: 900 rpm
C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,C4_SPEED_1200_R02_20260611_170706.sqlite3,2026-06-11 17:07:06,2026-06-11 17:08:07,,,,constant_speed,constant_speed,transition,training,unassigned,no_load,cw,,1200,,1000,1000,60.600,10.0,timer,ok,0,C4: 1200 rpm
C5_SPEED_1500,C5_SPEED_1500_R02_20260611_170849,C5_SPEED_1500_R02_20260611_170849.sqlite3,2026-06-11 17:08:50,2026-06-11 17:09:50,,,,constant_speed,constant_speed,transition,training,unassigned,no_load,cw,,1500,,1000,1000,60.717,10.0,timer,ok,0,C5: 1500 rpm
B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,B2_ACC_DEC_MEDIUM_R02_20260611_171101.sqlite3,2026-06-11 17:11:02,2026-06-11 17:12:32,,,,acceleration,acceleration,transition,training,unassigned,no_load,cw,,900,,1500,1500,90.547,10.0,timer,ok,0,B2: medium acc/dec
B3_ACC_DEC_SHARP,B3_ACC_DEC_SHARP_R02_20260611_171240,B3_ACC_DEC_SHARP_R02_20260611_171240.sqlite3,2026-06-11 17:12:40,2026-06-11 17:14:11,,,,acceleration,acceleration,elevated_load,training,unassigned,no_load,cw,,1200,,3000,3000,90.563,10.0,timer,ok,0,B3: sharp but allowed acc/dec
B4_REVERSAL,B4_REVERSAL_R02_20260611_171416,B4_REVERSAL_R02_20260611_171416.sqlite3,2026-06-11 17:14:16,2026-06-11 17:15:47,,,,reversal,reversal,transition,training,unassigned,no_load,both,,600,,1000,1000,90.649,10.0,timer,ok,0,B4: reversal
B5_CYCLIC,B5_CYCLIC_R02_20260611_171553,B5_CYCLIC_R02_20260611_171553.sqlite3,2026-06-11 17:15:53,2026-06-11 17:20:54,,,,cyclic,cyclic,transition,training,unassigned,no_load,both,,600,,1000,1000,300.690,10.0,timer,ok,0,B5: cyclic back-and-forth
A4_ROTATE_BOTH_DIRS,A4_ROTATE_BOTH_DIRS_R02_20260611_172103,A4_ROTATE_BOTH_DIRS_R02_20260611_172103.sqlite3,2026-06-11 17:21:04,2026-06-11 17:22:34,,,,reversal,reversal,normal,training,unassigned,no_load,both,,300,,1000,1000,90.812,10.0,timer,ok,0,A4: rotate both directions
A3_ROTATE_ONE_DIR,A3_ROTATE_ONE_DIR_R02_20260611_172320,A3_ROTATE_ONE_DIR_R02_20260611_172320.sqlite3,2026-06-11 17:23:20,2026-06-11 17:24:51,,,,constant_speed,constant_speed,normal,training,unassigned,no_load,cw,,300,,1000,1000,90.661,10.0,timer,ok,0,A3: rotate CW low speed
A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R02_20260611_172458,A2_HOLD_AFTER_MOVE_R02_20260611_172458.sqlite3,2026-06-11 17:24:58,2026-06-11 17:26:59,,,,holding,holding,normal,training,unassigned,no_load,none,,,,1000,1000,120.642,10.0,timer,ok,0,A2: hold position after move
A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,A1_HOLDING_SERVO_ON_R02_20260611_172739.sqlite3,2026-06-11 17:27:40,2026-06-11 17:29:40,,,,holding,holding,normal,training,unassigned,no_load,none,,,,1000,1000,120.562,10.0,timer,ok,0,"A1: Servo ON, shaft stationary"
D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,D1_LONG_CYCLE_LOW_R02_20260611_172952.sqlite3,2026-06-11 17:29:52,2026-06-11 17:39:53,,,,cyclic,cyclic,normal,training,unassigned,no_load,both,,600,,1000,1000,600.821,10.0,timer,ok,0,"D1: long cycle, low speed"
D2_LONG_CYCLE_MED,D2_LONG_CYCLE_MED_R02_20260611_174000,D2_LONG_CYCLE_MED_R02_20260611_174000.sqlite3,2026-06-11 17:40:00,2026-06-11 17:50:01,,,,cyclic,cyclic,transition,training,unassigned,no_load,both,,900,,1000,1000,600.770,10.0,timer,ok,0,"D2: long cycle, medium speed"
D3_LONG_CYCLE_HARD,D3_LONG_CYCLE_HARD_R02_20260611_175010,D3_LONG_CYCLE_HARD_R02_20260611_175010.sqlite3,2026-06-11 17:50:10,2026-06-11 18:00:11,,,,cyclic,cyclic,elevated_load,training,unassigned,no_load,both,,1200,,1500,1500,600.701,10.0,timer,ok,0,"D3: long cycle, frequent acc/dec"
