ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781173660.555475,0.0,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,758425501,0,1,0.00427,2,0.004782,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173660.6555116,0.10003662109375,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425567,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173660.755687,0.2002120018005371,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,1,0.00427,0,0.0,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173660.8562112,0.3007361888885498,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425613,0,1,0.00427,2,0.004782,308,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173660.9569635,0.4014885425567627,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425607,0,1,0.00427,2,0.004782,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173661.0572615,0.501786470413208,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173661.1574364,0.6019613742828369,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425611,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173661.2576725,0.7021975517272949,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425607,0,1,0.00427,2,0.004782,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173661.357842,0.8023669719696045,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425601,0,1,0.00427,2,0.004782,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173661.4579275,0.9024524688720703,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425607,0,2,0.00854,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173661.5583174,1.0028424263000488,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173661.6585507,1.1030757427215576,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425607,0,2,0.00854,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173661.759006,1.20353102684021,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425599,0,2,0.00854,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173661.8592193,1.3037443161010742,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425613,0,1,0.00427,1,0.002391,308,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173661.9595559,1.404080867767334,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425607,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173662.0597742,1.5042991638183594,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425607,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173662.1602333,1.6047582626342773,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173662.2607334,1.7052583694458008,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,1,0.00427,2,0.004782,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
