ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781162483.1173902,0.0,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_142122,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,7009,2,26,0.11102,25,0.059775,302,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781162483.2186491,0.10125899314880371,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_142122,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,10571,0,20,0.0854,20,0.04782,302,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781162483.319204,0.2018139362335205,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_142122,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,10325,0,16,0.06832,17,0.040647,302,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781162483.419358,0.3019678592681885,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_142122,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,10119,0,15,0.06405,15,0.035865,302,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781162483.5199158,0.4025256633758545,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_142122,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,10047,0,15,0.06405,15,0.035865,302,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781162483.6204042,0.503014087677002,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_142122,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,9997,0,14,0.05978,14,0.033474,302,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781162483.7206173,0.6032271385192871,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_142122,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,9987,0,14,0.05978,14,0.033474,302,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781162483.8210478,0.7036576271057129,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_142122,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,9987,0,14,0.05978,14,0.033474,303,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781162483.9216948,0.8043045997619629,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_142122,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,9991,0,14,0.05978,13,0.031083,303,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781162484.0220451,0.9046549797058105,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_142122,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,9991,0,14,0.05978,14,0.033474,302,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781162484.1225867,1.0051965713500977,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_142122,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,9985,0,14,0.05978,14,0.033474,302,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781162484.22306,1.1056697368621826,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_142122,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,9997,0,14,0.05978,14,0.033474,302,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781162484.3231711,1.2057809829711914,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_142122,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,9997,0,14,0.05978,14,0.033474,302,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781162484.4236014,1.306211233139038,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_142122,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,10015,0,14,0.05978,13,0.031083,302,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781162484.523727,1.406336784362793,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_142122,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,9991,0,14,0.05978,13,0.031083,302,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781162484.6241636,1.5067734718322754,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_142122,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,10015,0,13,0.05551,15,0.035865,302,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781162484.7246618,1.607271671295166,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_142122,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,10019,0,13,0.05551,14,0.033474,303,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781162484.8253148,1.7079246044158936,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_142122,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,10037,0,13,0.05551,14,0.033474,303,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781162484.92545,1.8080599308013916,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_142122,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,10041,0,14,0.05978,14,0.033474,302,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781162485.025895,1.9085049629211426,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_142122,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,10031,0,15,0.06405,13,0.031083,302,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
1781162485.1260118,2.0086216926574707,A2_HOLD_AFTER_MOVE,A2_HOLD_AFTER_MOVE_R01_20260611_142122,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,10045,0,13,0.05551,14,0.033474,302,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,A2: hold position after move,servo-app/lab-0.1
