ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781173401.0498273,0.0,A3_ROTATE_ONE_DIR,A3_ROTATE_ONE_DIR_R02_20260611_172320,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,3748834,280,20,0.0854,19,0.045429,306,49,4270,2391,6000,,300,,,,constant_speed,normal,0,no_load,cw,A3: rotate CW low speed,servo-app/lab-0.1
1781173401.1500866,0.10025930404663086,A3_ROTATE_ONE_DIR,A3_ROTATE_ONE_DIR_R02_20260611_172320,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,4596937,301,17,0.07259,17,0.040647,306,49,4270,2391,6000,,300,,,,constant_speed,normal,0,no_load,cw,A3: rotate CW low speed,servo-app/lab-0.1
1781173401.2507107,0.2008833885192871,A3_ROTATE_ONE_DIR,A3_ROTATE_ONE_DIR_R02_20260611_172320,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,5443025,299,17,0.07259,18,0.043038,306,49,4270,2391,6000,,300,,,,constant_speed,normal,0,no_load,cw,A3: rotate CW low speed,servo-app/lab-0.1
1781173401.351001,0.30117368698120117,A3_ROTATE_ONE_DIR,A3_ROTATE_ONE_DIR_R02_20260611_172320,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,6266247,301,18,0.07686,16,0.038256,306,49,4270,2391,6000,,300,,,,constant_speed,normal,0,no_load,cw,A3: rotate CW low speed,servo-app/lab-0.1
1781173401.4512582,0.4014308452606201,A3_ROTATE_ONE_DIR,A3_ROTATE_ONE_DIR_R02_20260611_172320,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,7120052,299,23,0.09821,22,0.052602,306,49,4270,2391,6000,,300,,,,constant_speed,normal,0,no_load,cw,A3: rotate CW low speed,servo-app/lab-0.1
1781173401.5515273,0.5016999244689941,A3_ROTATE_ONE_DIR,A3_ROTATE_ONE_DIR_R02_20260611_172320,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,7960600,300,18,0.07686,17,0.040647,305,49,4270,2391,6000,,300,,,,constant_speed,normal,0,no_load,cw,A3: rotate CW low speed,servo-app/lab-0.1
1781173401.651937,0.6021096706390381,A3_ROTATE_ONE_DIR,A3_ROTATE_ONE_DIR_R02_20260611_172320,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,8806092,299,20,0.0854,18,0.043038,306,49,4270,2391,6000,,300,,,,constant_speed,normal,0,no_load,cw,A3: rotate CW low speed,servo-app/lab-0.1
1781173401.7525961,0.7027688026428223,A3_ROTATE_ONE_DIR,A3_ROTATE_ONE_DIR_R02_20260611_172320,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,9654404,300,19,0.08113,18,0.043038,306,49,4270,2391,6000,,300,,,,constant_speed,normal,0,no_load,cw,A3: rotate CW low speed,servo-app/lab-0.1
1781173401.8530598,0.8032324314117432,A3_ROTATE_ONE_DIR,A3_ROTATE_ONE_DIR_R02_20260611_172320,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,10483847,300,23,0.09821,22,0.052602,306,49,4270,2391,6000,,300,,,,constant_speed,normal,0,no_load,cw,A3: rotate CW low speed,servo-app/lab-0.1
1781173401.9535453,0.9037179946899414,A3_ROTATE_ONE_DIR,A3_ROTATE_ONE_DIR_R02_20260611_172320,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,11340571,300,18,0.07686,19,0.045429,306,49,4270,2391,6000,,300,,,,constant_speed,normal,0,no_load,cw,A3: rotate CW low speed,servo-app/lab-0.1
