ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781173264.4558413,0.0,A4_ROTATE_BOTH_DIRS,A4_ROTATE_BOTH_DIRS_R02_20260611_172103,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,3483918,299,18,0.07686,19,0.045429,306,49,4270,2391,6000,,300,,,,reversal,normal,0,no_load,both,A4: rotate both directions,servo-app/lab-0.1
1781173264.5560465,0.1002051830291748,A4_ROTATE_BOTH_DIRS,A4_ROTATE_BOTH_DIRS_R02_20260611_172103,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,4313813,300,15,0.06405,15,0.035865,306,49,4270,2391,6000,,300,,,,reversal,normal,0,no_load,both,A4: rotate both directions,servo-app/lab-0.1
1781173264.656522,0.20068073272705078,A4_ROTATE_BOTH_DIRS,A4_ROTATE_BOTH_DIRS_R02_20260611_172103,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,5161481,299,19,0.08113,19,0.045429,306,49,4270,2391,6000,,300,,,,reversal,normal,0,no_load,both,A4: rotate both directions,servo-app/lab-0.1
1781173264.7567062,0.30086493492126465,A4_ROTATE_BOTH_DIRS,A4_ROTATE_BOTH_DIRS_R02_20260611_172103,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,6016108,300,20,0.0854,19,0.045429,306,49,4270,2391,6000,,300,,,,reversal,normal,0,no_load,both,A4: rotate both directions,servo-app/lab-0.1
1781173264.856922,0.4010806083679199,A4_ROTATE_BOTH_DIRS,A4_ROTATE_BOTH_DIRS_R02_20260611_172103,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,6838292,299,22,0.09394,21,0.050211,306,49,4270,2391,6000,,300,,,,reversal,normal,0,no_load,both,A4: rotate both directions,servo-app/lab-0.1
1781173264.9575088,0.5016674995422363,A4_ROTATE_BOTH_DIRS,A4_ROTATE_BOTH_DIRS_R02_20260611_172103,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,7694156,301,16,0.06832,15,0.035865,306,49,4270,2391,6000,,300,,,,reversal,normal,0,no_load,both,A4: rotate both directions,servo-app/lab-0.1
1781173265.0579817,0.6021404266357422,A4_ROTATE_BOTH_DIRS,A4_ROTATE_BOTH_DIRS_R02_20260611_172103,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,8532906,299,19,0.08113,21,0.050211,306,49,4270,2391,6000,,300,,,,reversal,normal,0,no_load,both,A4: rotate both directions,servo-app/lab-0.1
1781173265.158428,0.7025866508483887,A4_ROTATE_BOTH_DIRS,A4_ROTATE_BOTH_DIRS_R02_20260611_172103,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,9379887,300,21,0.08967,20,0.04782,306,49,4270,2391,6000,,300,,,,reversal,normal,0,no_load,both,A4: rotate both directions,servo-app/lab-0.1
1781173265.2588012,0.8029599189758301,A4_ROTATE_BOTH_DIRS,A4_ROTATE_BOTH_DIRS_R02_20260611_172103,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,10218235,299,21,0.08967,20,0.04782,306,49,4270,2391,6000,,300,,,,reversal,normal,0,no_load,both,A4: rotate both directions,servo-app/lab-0.1
1781173265.3591406,0.9032993316650391,A4_ROTATE_BOTH_DIRS,A4_ROTATE_BOTH_DIRS_R02_20260611_172103,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,11065730,300,18,0.07686,18,0.043038,306,49,4270,2391,6000,,300,,,,reversal,normal,0,no_load,both,A4: rotate both directions,servo-app/lab-0.1
