ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781172662.4287076,0.0,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,31687,37,21,0.08967,20,0.04782,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172662.528966,0.10025835037231445,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,49644,1,19,0.08113,18,0.043038,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172662.629142,0.20043444633483887,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,8146,-13,-17,-0.07259,-18,-0.043038,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172662.729524,0.30081629753112793,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,-72,0,-14,-0.05978,-14,-0.033474,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172662.8302462,0.401538610458374,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,46742,6,20,0.0854,19,0.045429,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172662.9304843,0.5017766952514648,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,27650,-42,-15,-0.06405,-12,-0.028692,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172663.030913,0.6022055149078369,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,883,-2,-16,-0.06832,-16,-0.038256,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172663.131011,0.702303409576416,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,40171,15,19,0.08113,19,0.045429,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172663.2314527,0.8027451038360596,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,49932,1,17,0.07259,17,0.040647,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172663.3317316,0.9030239582061768,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,5476,-9,-18,-0.07686,-16,-0.038256,307,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172663.4321668,1.0034592151641846,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,4663,RTSO|SO|OE|VE|QS|ACK,1,0,42,2,5,0.02135,0,0.0,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172663.5322542,1.1035466194152832,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,48235,3,19,0.08113,19,0.045429,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172663.6325145,1.2038068771362305,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,50218,0,16,0.06832,15,0.035865,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172663.7331045,1.3043968677520752,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,50140,0,14,0.05978,15,0.035865,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172663.8331664,1.40445876121521,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,50060,0,14,0.05978,14,0.033474,307,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172663.9335568,1.5048491954803467,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,6763,-11,-18,-0.07686,-17,-0.040647,307,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172664.0341039,1.6053962707519531,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,-68,-1,-15,-0.06405,-15,-0.035865,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172664.1341734,1.7054657936096191,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,46497,6,19,0.08113,19,0.045429,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172664.2348204,1.8061127662658691,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,27394,-43,-13,-0.05551,-12,-0.028692,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172664.335138,1.9064304828643799,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,933,-2,-15,-0.06405,-15,-0.035865,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172664.435458,2.0067503452301025,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,40345,15,19,0.08113,19,0.045429,307,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172664.535872,2.1071643829345703,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,49916,1,17,0.07259,17,0.040647,307,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172664.636363,2.207655429840088,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,5044,-9,-17,-0.07259,-16,-0.038256,307,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172664.736539,2.307831287384033,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,4812,21,15,0.06405,20,0.04782,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172664.8369286,2.4082210063934326,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,48641,3,17,0.07259,18,0.043038,307,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172664.9372585,2.5085508823394775,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,14068,-21,-16,-0.06832,-16,-0.038256,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172665.037279,2.6085712909698486,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,261,-1,-15,-0.06405,-15,-0.035865,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172665.1375434,2.7088358402252197,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,45159,8,18,0.07686,18,0.043038,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172665.2377408,2.809033155441284,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,46507,-13,-17,-0.07259,-14,-0.033474,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172665.3378062,2.9090986251831055,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,1437,-3,-15,-0.06405,-16,-0.038256,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172665.4380586,3.0093510150909424,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,-264,0,-13,-0.05551,-13,-0.031083,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172665.538515,3.1098074913024902,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,-172,0,-11,-0.04697,-11,-0.026301,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172665.6390033,3.2102956771850586,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,32874,26,18,0.07686,18,0.043038,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172665.7395964,3.3108887672424316,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,49634,1,18,0.07686,17,0.040647,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172665.839873,3.411165475845337,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,6981,-11,-17,-0.07259,-16,-0.038256,307,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172665.9403932,3.511685609817505,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,-68,0,-13,-0.05551,-14,-0.033474,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172666.040836,3.612128496170044,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,47608,4,19,0.08113,18,0.043038,307,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172666.1412868,3.7125792503356934,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,33534,-40,-12,-0.05124,-11,-0.026301,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172666.2413843,3.8126766681671143,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,1029,-2,-16,-0.06832,-16,-0.038256,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172666.3418744,3.9131667613983154,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,-234,0,-13,-0.05551,-13,-0.031083,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
1781172666.4420447,4.013337135314941,B2_ACC_DEC_MEDIUM,B2_ACC_DEC_MEDIUM_R02_20260611_171101,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,-128,0,-11,-0.04697,-12,-0.028692,306,47,4270,2391,6000,,900,,,,acceleration,transition,0,no_load,cw,B2: medium acc/dec,servo-app/lab-0.1
