ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781163070.278897,0.0,B4_REVERSAL,B4_REVERSAL_R01_20260611_143109,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,1199279,598,21,0.08967,23,0.054993,301,49,4270,2391,6000,,600,,,,reversal,transition,0,no_load,both,B4: reversal,servo-app/lab-0.1
1781163070.3791387,0.10024166107177734,B4_REVERSAL,B4_REVERSAL_R01_20260611_143109,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,2877345,598,20,0.0854,19,0.045429,301,49,4270,2391,6000,,600,,,,reversal,transition,0,no_load,both,B4: reversal,servo-app/lab-0.1
1781163070.4795148,0.20061779022216797,B4_REVERSAL,B4_REVERSAL_R01_20260611_143109,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,4554513,598,21,0.08967,24,0.057384,301,49,4270,2391,6000,,600,,,,reversal,transition,0,no_load,both,B4: reversal,servo-app/lab-0.1
1781163070.5800464,0.3011493682861328,B4_REVERSAL,B4_REVERSAL_R01_20260611_143109,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,6249348,599,16,0.06832,18,0.043038,301,49,4270,2391,6000,,600,,,,reversal,transition,0,no_load,both,B4: reversal,servo-app/lab-0.1
1781163070.6801298,0.4012327194213867,B4_REVERSAL,B4_REVERSAL_R01_20260611_143109,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,7926779,598,27,0.11529,29,0.069339,301,49,4270,2391,6000,,600,,,,reversal,transition,0,no_load,both,B4: reversal,servo-app/lab-0.1
1781163070.7805865,0.5016894340515137,B4_REVERSAL,B4_REVERSAL_R01_20260611_143109,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,9621365,598,17,0.07259,17,0.040647,301,49,4270,2391,6000,,600,,,,reversal,transition,0,no_load,both,B4: reversal,servo-app/lab-0.1
1781163070.8809218,0.6020247936248779,B4_REVERSAL,B4_REVERSAL_R01_20260611_143109,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,11298624,598,27,0.11529,25,0.059775,301,49,4270,2391,6000,,600,,,,reversal,transition,0,no_load,both,B4: reversal,servo-app/lab-0.1
1781163070.9813728,0.7024757862091064,B4_REVERSAL,B4_REVERSAL_R01_20260611_143109,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,12993230,598,17,0.07259,17,0.040647,301,49,4270,2391,6000,,600,,,,reversal,transition,0,no_load,both,B4: reversal,servo-app/lab-0.1
1781163071.0818324,0.8029353618621826,B4_REVERSAL,B4_REVERSAL_R01_20260611_143109,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,14670739,599,26,0.11102,26,0.062166,301,49,4270,2391,6000,,600,,,,reversal,transition,0,no_load,both,B4: reversal,servo-app/lab-0.1
1781163071.1820736,0.9031765460968018,B4_REVERSAL,B4_REVERSAL_R01_20260611_143109,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,16349067,599,20,0.0854,22,0.052602,301,49,4270,2391,6000,,600,,,,reversal,transition,0,no_load,both,B4: reversal,servo-app/lab-0.1
1781163071.2822757,1.0033786296844482,B4_REVERSAL,B4_REVERSAL_R01_20260611_143109,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,18026167,598,20,0.0854,21,0.050211,301,49,4270,2391,6000,,600,,,,reversal,transition,0,no_load,both,B4: reversal,servo-app/lab-0.1
1781163071.3825889,1.103691816329956,B4_REVERSAL,B4_REVERSAL_R01_20260611_143109,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,19720989,599,21,0.08967,17,0.040647,301,49,4270,2391,6000,,600,,,,reversal,transition,0,no_load,both,B4: reversal,servo-app/lab-0.1
1781163071.482959,1.2040619850158691,B4_REVERSAL,B4_REVERSAL_R01_20260611_143109,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,21398108,598,18,0.07686,22,0.052602,301,49,4270,2391,6000,,600,,,,reversal,transition,0,no_load,both,B4: reversal,servo-app/lab-0.1
1781163071.5830147,1.3041176795959473,B4_REVERSAL,B4_REVERSAL_R01_20260611_143109,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,23076410,599,15,0.06405,17,0.040647,301,49,4270,2391,6000,,600,,,,reversal,transition,0,no_load,both,B4: reversal,servo-app/lab-0.1
1781163071.6835997,1.4047026634216309,B4_REVERSAL,B4_REVERSAL_R01_20260611_143109,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,24854159,599,17,0.07259,19,0.045429,301,49,4270,2391,6000,,600,,,,reversal,transition,0,no_load,both,B4: reversal,servo-app/lab-0.1
1781163071.7842424,1.505345344543457,B4_REVERSAL,B4_REVERSAL_R01_20260611_143109,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,26448283,599,15,0.06405,16,0.038256,301,49,4270,2391,6000,,600,,,,reversal,transition,0,no_load,both,B4: reversal,servo-app/lab-0.1
