ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781172360.4328675,0.0,C3_SPEED_900,C3_SPEED_900_R02_20260611_170559,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,3,0,1510626435,827,12,0.05124,19,0.045429,307,47,4270,2391,6000,,900,,,,constant_speed,normal,0,no_load,cw,C3: 900 rpm,servo-app/lab-0.1
1781172360.5333722,0.10050463676452637,C3_SPEED_900,C3_SPEED_900_R02_20260611_170559,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,1513170123,899,17,0.07259,16,0.038256,307,47,4270,2391,6000,,900,,,,constant_speed,normal,0,no_load,cw,C3: 900 rpm,servo-app/lab-0.1
1781172360.6337526,0.20088505744934082,C3_SPEED_900,C3_SPEED_900_R02_20260611_170559,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,1515661349,900,24,0.10248,23,0.054993,307,47,4270,2391,6000,,900,,,,constant_speed,normal,0,no_load,cw,C3: 900 rpm,servo-app/lab-0.1
1781172360.7341087,0.3012411594390869,C3_SPEED_900,C3_SPEED_900_R02_20260611_170559,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,1518203261,900,19,0.08113,20,0.04782,307,47,4270,2391,6000,,900,,,,constant_speed,normal,0,no_load,cw,C3: 900 rpm,servo-app/lab-0.1
1781172360.8346364,0.40176892280578613,C3_SPEED_900,C3_SPEED_900_R02_20260611_170559,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,1520744493,900,21,0.08967,16,0.038256,307,47,4270,2391,6000,,900,,,,constant_speed,normal,0,no_load,cw,C3: 900 rpm,servo-app/lab-0.1
1781172360.9350321,0.5021646022796631,C3_SPEED_900,C3_SPEED_900_R02_20260611_170559,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,1523261331,900,20,0.0854,18,0.043038,307,47,4270,2391,6000,,900,,,,constant_speed,normal,0,no_load,cw,C3: 900 rpm,servo-app/lab-0.1
1781172361.0350718,0.6022043228149414,C3_SPEED_900,C3_SPEED_900_R02_20260611_170559,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,1525777702,900,17,0.07259,27,0.064557,307,47,4270,2391,6000,,900,,,,constant_speed,normal,0,no_load,cw,C3: 900 rpm,servo-app/lab-0.1
1781172361.1352432,0.7023756504058838,C3_SPEED_900,C3_SPEED_900_R02_20260611_170559,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,1528319780,900,21,0.08967,20,0.04782,307,47,4270,2391,6000,,900,,,,constant_speed,normal,0,no_load,cw,C3: 900 rpm,servo-app/lab-0.1
1781172361.2357683,0.8029007911682129,C3_SPEED_900,C3_SPEED_900_R02_20260611_170559,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,1530810617,900,19,0.08113,19,0.045429,307,47,4270,2391,6000,,900,,,,constant_speed,normal,0,no_load,cw,C3: 900 rpm,servo-app/lab-0.1
1781172361.336255,0.9033875465393066,C3_SPEED_900,C3_SPEED_900_R02_20260611_170559,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,1533377893,900,22,0.09394,20,0.04782,307,47,4270,2391,6000,,900,,,,constant_speed,normal,0,no_load,cw,C3: 900 rpm,servo-app/lab-0.1
1781172361.4364371,1.0035696029663086,C3_SPEED_900,C3_SPEED_900_R02_20260611_170559,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,1535894286,900,27,0.11529,24,0.057384,307,47,4270,2391,6000,,900,,,,constant_speed,normal,0,no_load,cw,C3: 900 rpm,servo-app/lab-0.1
