ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781172426.9954615,0.0,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,3,0,-1274477445,896,19,0.08113,18,0.043038,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172427.0959156,0.10045409202575684,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1271186489,1199,22,0.09394,23,0.054993,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172427.196099,0.2006375789642334,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1267764321,1199,21,0.08967,22,0.052602,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172427.2965407,0.30107927322387695,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1264408739,1200,21,0.08967,21,0.050211,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172427.3970473,0.40158581733703613,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1261053382,1199,21,0.08967,21,0.050211,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172427.497417,0.501955509185791,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1257630745,1200,21,0.08967,21,0.050211,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172427.5977666,0.6023051738739014,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1254275443,1199,17,0.07259,20,0.04782,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172427.6982038,0.702742338180542,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1250920324,1199,15,0.06405,19,0.045429,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172427.7982304,0.8027689456939697,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1247598246,1200,21,0.08967,22,0.052602,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172427.8982594,0.9027979373931885,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1244209406,1199,20,0.0854,20,0.04782,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172427.9986982,1.0032367706298828,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1240820321,1200,23,0.09821,21,0.050211,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172428.0989795,1.103518009185791,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1237465035,1199,18,0.07686,18,0.043038,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172428.199831,1.2043695449829102,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1234076388,1199,17,0.07259,21,0.050211,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172428.2999377,1.304476261138916,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1230787803,1200,21,0.08967,21,0.050211,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172428.4000244,1.4045629501342773,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1227398955,1199,12,0.05124,21,0.050211,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172428.5007792,1.5053176879882812,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1224009818,1200,14,0.05978,18,0.043038,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172428.6013155,1.6058540344238281,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1220587401,1200,17,0.07259,22,0.052602,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172428.7013814,1.7059199810028076,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1217232256,1200,23,0.09821,24,0.057384,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172428.801422,1.8059606552124023,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1213910288,1200,21,0.08967,20,0.04782,309,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
1781172428.9014666,1.9060051441192627,C4_SPEED_1200,C4_SPEED_1200_R02_20260611_170706,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-1210521435,1200,17,0.07259,17,0.040647,308,47,4270,2391,6000,,1200,,,,constant_speed,transition,0,no_load,cw,C4: 1200 rpm,servo-app/lab-0.1
