ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781173792.9713757,0.0,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,3,0,758839577,540,20,0.0854,18,0.043038,307,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173793.0721326,0.10075688362121582,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,760519340,599,17,0.07259,21,0.050211,307,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173793.1722605,0.20088481903076172,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,762196445,599,22,0.09394,19,0.045429,307,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173793.272663,0.3012874126434326,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,763891240,599,18,0.07686,18,0.043038,307,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173793.3730173,0.4016416072845459,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,765535195,599,20,0.0854,21,0.050211,307,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173793.4735222,0.5021464824676514,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,767229998,599,17,0.07259,19,0.045429,307,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173793.5736966,0.6023209095001221,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,768940828,600,18,0.07686,20,0.04782,307,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173793.6738584,0.7024827003479004,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,770652350,599,19,0.08113,23,0.054993,307,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173793.7741249,0.8027491569519043,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,772312991,600,18,0.07686,23,0.054993,307,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173793.874505,0.9031293392181396,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,773974563,600,19,0.08113,19,0.045429,308,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173793.9748833,1.0035076141357422,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,775668426,599,18,0.07686,26,0.062166,307,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173794.075348,1.1039721965789795,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,777363167,600,19,0.08113,19,0.045429,307,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173794.175379,1.2040033340454102,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,779023509,599,22,0.09394,20,0.04782,307,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173794.2756488,1.3042731285095215,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,780684697,599,18,0.07686,18,0.043038,307,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173794.3759794,1.4046037197113037,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,782379053,600,17,0.07259,18,0.043038,307,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173794.4762168,1.5048410892486572,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,784057030,599,17,0.07259,17,0.040647,307,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173794.5764067,1.6050310134887695,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,785767908,600,18,0.07686,18,0.043038,307,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173794.6771874,1.7058117389678955,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,787429040,599,19,0.08113,23,0.054993,307,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173794.7774966,1.8061208724975586,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,789140133,600,15,0.06405,18,0.043038,307,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173794.87831,1.9069342613220215,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,790818339,600,18,0.07686,21,0.050211,307,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173794.978484,2.007108211517334,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,792478642,600,28,0.11956,26,0.062166,307,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173795.0786963,2.107320547103882,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,794190197,600,20,0.0854,19,0.045429,307,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173795.1791465,2.207770824432373,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,795850551,600,22,0.09394,26,0.062166,307,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173795.2794425,2.3080668449401855,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,797528625,600,18,0.07686,19,0.045429,307,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173795.3799615,2.408585786819458,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,799239754,600,20,0.0854,19,0.045429,307,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
1781173795.4801989,2.5088231563568115,D1_LONG_CYCLE_LOW,D1_LONG_CYCLE_LOW_R02_20260611_172952,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,800900831,600,17,0.07259,18,0.043038,308,49,4270,2391,6000,,600,,,,cyclic,normal,0,no_load,both,"D1: long cycle, low speed",servo-app/lab-0.1
