ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781174400.782412,0.0,D2_LONG_CYCLE_MED,D2_LONG_CYCLE_MED_R02_20260611_174000,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,3,0,761905343,708,20,0.0854,22,0.052602,308,49,4270,2391,6000,,900,,,,cyclic,transition,0,no_load,both,"D2: long cycle, medium speed",servo-app/lab-0.1
1781174400.8828614,0.1004493236541748,D2_LONG_CYCLE_MED,D2_LONG_CYCLE_MED_R02_20260611_174000,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,764448937,900,21,0.08967,20,0.04782,308,49,4270,2391,6000,,900,,,,cyclic,transition,0,no_load,both,"D2: long cycle, medium speed",servo-app/lab-0.1
1781174400.9833112,0.2008991241455078,D2_LONG_CYCLE_MED,D2_LONG_CYCLE_MED_R02_20260611_174000,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,767016000,900,22,0.09394,22,0.052602,307,49,4270,2391,6000,,900,,,,cyclic,transition,0,no_load,both,"D2: long cycle, medium speed",servo-app/lab-0.1
1781174401.083548,0.3011360168457031,D2_LONG_CYCLE_MED,D2_LONG_CYCLE_MED_R02_20260611_174000,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,769531908,901,19,0.08113,11,0.026301,307,49,4270,2391,6000,,900,,,,cyclic,transition,0,no_load,both,"D2: long cycle, medium speed",servo-app/lab-0.1
1781174401.1839967,0.4015846252441406,D2_LONG_CYCLE_MED,D2_LONG_CYCLE_MED_R02_20260611_174000,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,772048695,899,28,0.11956,23,0.054993,307,49,4270,2391,6000,,900,,,,cyclic,transition,0,no_load,both,"D2: long cycle, medium speed",servo-app/lab-0.1
1781174401.284414,0.5020020008087158,D2_LONG_CYCLE_MED,D2_LONG_CYCLE_MED_R02_20260611_174000,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,774565399,900,25,0.10675,23,0.054993,307,49,4270,2391,6000,,900,,,,cyclic,transition,0,no_load,both,"D2: long cycle, medium speed",servo-app/lab-0.1
1781174401.3848941,0.6024820804595947,D2_LONG_CYCLE_MED,D2_LONG_CYCLE_MED_R02_20260611_174000,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,777107309,899,17,0.07259,17,0.040647,308,49,4270,2391,6000,,900,,,,cyclic,transition,0,no_load,both,"D2: long cycle, medium speed",servo-app/lab-0.1
1781174401.4853928,0.7029807567596436,D2_LONG_CYCLE_MED,D2_LONG_CYCLE_MED_R02_20260611_174000,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,779648846,901,16,0.06832,20,0.04782,307,49,4270,2391,6000,,900,,,,cyclic,transition,0,no_load,both,"D2: long cycle, medium speed",servo-app/lab-0.1
1781174401.5856657,0.8032536506652832,D2_LONG_CYCLE_MED,D2_LONG_CYCLE_MED_R02_20260611_174000,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,782164873,899,28,0.11956,28,0.066948,307,49,4270,2391,6000,,900,,,,cyclic,transition,0,no_load,both,"D2: long cycle, medium speed",servo-app/lab-0.1
1781174401.6860964,0.9036843776702881,D2_LONG_CYCLE_MED,D2_LONG_CYCLE_MED_R02_20260611_174000,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,784656447,900,24,0.10248,21,0.050211,307,49,4270,2391,6000,,900,,,,cyclic,transition,0,no_load,both,"D2: long cycle, medium speed",servo-app/lab-0.1
