ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781175011.0702376,0.0,D3_LONG_CYCLE_HARD,D3_LONG_CYCLE_HARD_R02_20260611_175010,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,3,0,766881891,499,25,0.10675,28,0.066948,309,49,4270,2391,6000,,1200,,,,cyclic,elevated_load,0,no_load,both,"D3: long cycle, frequent acc/dec",servo-app/lab-0.1
1781175011.17046,0.10022234916687012,D3_LONG_CYCLE_HARD,D3_LONG_CYCLE_HARD_R02_20260611_175010,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,770011498,1200,21,0.08967,21,0.050211,308,49,4270,2391,6000,,1200,,,,cyclic,elevated_load,0,no_load,both,"D3: long cycle, frequent acc/dec",servo-app/lab-0.1
1781175011.2704926,0.2002549171447754,D3_LONG_CYCLE_HARD,D3_LONG_CYCLE_HARD_R02_20260611_175010,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,773366934,1200,21,0.08967,20,0.04782,308,49,4270,2391,6000,,1200,,,,cyclic,elevated_load,0,no_load,both,"D3: long cycle, frequent acc/dec",servo-app/lab-0.1
1781175011.3707724,0.300534725189209,D3_LONG_CYCLE_HARD,D3_LONG_CYCLE_HARD_R02_20260611_175010,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,776755834,1201,19,0.08113,20,0.04782,308,49,4270,2391,6000,,1200,,,,cyclic,elevated_load,0,no_load,both,"D3: long cycle, frequent acc/dec",servo-app/lab-0.1
1781175011.4711885,0.40095090866088867,D3_LONG_CYCLE_HARD,D3_LONG_CYCLE_HARD_R02_20260611_175010,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,780144687,1200,21,0.08967,20,0.04782,308,49,4270,2391,6000,,1200,,,,cyclic,elevated_load,0,no_load,both,"D3: long cycle, frequent acc/dec",servo-app/lab-0.1
1781175011.571608,0.5013704299926758,D3_LONG_CYCLE_HARD,D3_LONG_CYCLE_HARD_R02_20260611_175010,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,783466370,1200,20,0.0854,20,0.04782,308,49,4270,2391,6000,,1200,,,,cyclic,elevated_load,0,no_load,both,"D3: long cycle, frequent acc/dec",servo-app/lab-0.1
1781175011.6723275,0.6020898818969727,D3_LONG_CYCLE_HARD,D3_LONG_CYCLE_HARD_R02_20260611_175010,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,786888929,1200,21,0.08967,21,0.050211,308,49,4270,2391,6000,,1200,,,,cyclic,elevated_load,0,no_load,both,"D3: long cycle, frequent acc/dec",servo-app/lab-0.1
1781175011.7726305,0.7023928165435791,D3_LONG_CYCLE_HARD,D3_LONG_CYCLE_HARD_R02_20260611_175010,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,790244326,1199,20,0.0854,20,0.04782,308,49,4270,2391,6000,,1200,,,,cyclic,elevated_load,0,no_load,both,"D3: long cycle, frequent acc/dec",servo-app/lab-0.1
1781175011.8730624,0.8028247356414795,D3_LONG_CYCLE_HARD,D3_LONG_CYCLE_HARD_R02_20260611_175010,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,793599887,1200,20,0.0854,20,0.04782,308,49,4270,2391,6000,,1200,,,,cyclic,elevated_load,0,no_load,both,"D3: long cycle, frequent acc/dec",servo-app/lab-0.1
1781175011.9732418,0.9030041694641113,D3_LONG_CYCLE_HARD,D3_LONG_CYCLE_HARD_R02_20260611_175010,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,796955126,1200,21,0.08967,21,0.050211,308,49,4270,2391,6000,,1200,,,,cyclic,elevated_load,0,no_load,both,"D3: long cycle, frequent acc/dec",servo-app/lab-0.1
1781175012.0735898,1.003352165222168,D3_LONG_CYCLE_HARD,D3_LONG_CYCLE_HARD_R02_20260611_175010,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,800310382,1200,20,0.0854,20,0.04782,308,49,4270,2391,6000,,1200,,,,cyclic,elevated_load,0,no_load,both,"D3: long cycle, frequent acc/dec",servo-app/lab-0.1
1781175012.1738598,1.1036221981048584,D3_LONG_CYCLE_HARD,D3_LONG_CYCLE_HARD_R02_20260611_175010,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,803732907,1200,21,0.08967,20,0.04782,308,49,4270,2391,6000,,1200,,,,cyclic,elevated_load,0,no_load,both,"D3: long cycle, frequent acc/dec",servo-app/lab-0.1
1781175012.2739694,1.2037317752838135,D3_LONG_CYCLE_HARD,D3_LONG_CYCLE_HARD_R02_20260611_175010,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,807088276,1199,21,0.08967,21,0.050211,308,49,4270,2391,6000,,1200,,,,cyclic,elevated_load,0,no_load,both,"D3: long cycle, frequent acc/dec",servo-app/lab-0.1
1781175012.3742902,1.3040525913238525,D3_LONG_CYCLE_HARD,D3_LONG_CYCLE_HARD_R02_20260611_175010,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,810410349,1200,20,0.0854,19,0.045429,308,49,4270,2391,6000,,1200,,,,cyclic,elevated_load,0,no_load,both,"D3: long cycle, frequent acc/dec",servo-app/lab-0.1
1781175012.474749,1.4045114517211914,D3_LONG_CYCLE_HARD,D3_LONG_CYCLE_HARD_R02_20260611_175010,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,813799082,1199,21,0.08967,21,0.050211,308,49,4270,2391,6000,,1200,,,,cyclic,elevated_load,0,no_load,both,"D3: long cycle, frequent acc/dec",servo-app/lab-0.1
1781175012.5751357,1.5048980712890625,D3_LONG_CYCLE_HARD,D3_LONG_CYCLE_HARD_R02_20260611_175010,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,817120849,1200,21,0.08967,19,0.045429,308,49,4270,2391,6000,,1200,,,,cyclic,elevated_load,0,no_load,both,"D3: long cycle, frequent acc/dec",servo-app/lab-0.1
