ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781171970.8856885,0.0,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,3,0,-2091273063,496,258,1.10166,262,0.626442,307,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171970.9859667,0.10027813911437988,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2089471519,621,-73,-0.31171,-78,-0.186498,307,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171971.0864384,0.20074987411499023,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2087817946,614,2,0.00854,4,0.009564,308,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171971.1866746,0.30098605155944824,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2086142169,595,30,0.1281,27,0.064557,307,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171971.2867095,0.40102100372314453,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2084518737,595,166,0.70882,163,0.389733,307,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171971.3871202,0.5014317035675049,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2082877654,584,227,0.96929,225,0.537975,307,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171971.4873142,0.6016256809234619,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2081121562,621,75,0.32025,76,0.181716,307,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171971.5876598,0.7019712924957275,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2079437270,598,44,0.18788,43,0.102813,307,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171971.6878436,0.8021550178527832,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2077736811,605,22,0.09394,18,0.043038,307,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171971.788219,0.9025304317474365,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2076041337,600,19,0.08113,16,0.038256,308,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
1781171971.8886538,1.0029652118682861,E2_LOAD_MED_INERTIA,E2_LOAD_MED_INERTIA_R02_20260611_165930,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,-2074361583,602,13,0.05551,12,0.028692,307,47,4270,2391,6000,,600,,,,load_medium,pre_emergency_proxy,0,inertia_medium,cw,"E2: medium inertia, pre-emergency proxy",servo-app/lab-0.1
