ts,statusword,mode_display,position,velocity,torque,current,error_code,rated_current,rated_torque,max_motor_speed,dc_bus_voltage,drive_temp,current_A,torque_Nm
1776839587.3752413,1591,1,-34,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839587.4757776,1591,1,-48,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839587.5758681,1591,1,-38,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839587.676169,1591,1,-34,0,-13,-14,0,4270,2391,6000,305,37,-0.05978,-0.031083
1776839587.7767081,1591,1,-34,0,-14,-14,0,4270,2391,6000,305,37,-0.05978,-0.033474
1776839587.8771365,1591,1,-18,0,-13,-13,0,4270,2391,6000,305,37,-0.05551,-0.031083
1776839587.977489,1591,1,-14,0,-13,-14,0,4270,2391,6000,305,37,-0.05978,-0.031083
1776839588.07819,1591,1,-6,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839588.1786258,1591,1,-2,0,-13,-13,0,4270,2391,6000,305,37,-0.05551,-0.031083
1776839588.2791598,1591,1,14,0,-13,-14,0,4270,2391,6000,305,37,-0.05978,-0.031083
1776839588.3796818,1591,1,8,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839588.4799447,1591,1,12,0,-13,-13,0,4270,2391,6000,305,37,-0.05551,-0.031083
1776839588.5800672,1591,1,18,0,-13,-12,0,4270,2391,6000,305,37,-0.05124,-0.031083
1776839588.6802132,1591,1,14,0,-13,-12,0,4270,2391,6000,305,37,-0.05124,-0.031083
1776839588.7806773,1591,1,18,0,-13,-13,0,4270,2391,6000,305,37,-0.05551,-0.031083
1776839588.8808298,1591,1,18,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839588.9813218,1591,1,4,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839589.0815454,1591,1,18,0,-13,-14,0,4270,2391,6000,305,37,-0.05978,-0.031083
1776839589.181849,1591,1,18,0,-14,-14,0,4270,2391,6000,305,37,-0.05978,-0.033474
1776839589.2823598,1591,1,18,0,-14,-15,0,4270,2391,6000,306,37,-0.06405,-0.033474
1776839589.382668,1591,1,18,0,-13,-13,0,4270,2391,6000,305,37,-0.05551,-0.031083
1776839589.4831412,1591,1,8,0,-13,-13,0,4270,2391,6000,305,37,-0.05551,-0.031083
1776839589.5833204,1591,1,18,0,-13,-14,0,4270,2391,6000,305,37,-0.05978,-0.031083
1776839589.6837547,1591,1,14,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839589.7842734,1591,1,-12,0,-14,-14,0,4270,2391,6000,305,37,-0.05978,-0.033474
1776839589.8847067,1591,1,-8,0,-14,-14,0,4270,2391,6000,305,37,-0.05978,-0.033474
1776839589.9848888,1591,1,-24,0,-13,-12,0,4270,2391,6000,305,37,-0.05124,-0.031083
1776839590.085139,1591,1,-28,0,-13,-14,0,4270,2391,6000,305,37,-0.05978,-0.031083
1776839590.1854842,1591,1,-30,0,-13,-13,0,4270,2391,6000,305,37,-0.05551,-0.031083
1776839590.2858272,1591,1,-30,0,-14,-14,0,4270,2391,6000,305,37,-0.05978,-0.033474
1776839590.386095,1591,1,-40,0,-13,-13,0,4270,2391,6000,305,37,-0.05551,-0.031083
1776839590.486346,1591,1,-40,0,-13,-12,0,4270,2391,6000,305,37,-0.05124,-0.031083
1776839590.5868196,1591,1,-38,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839590.687235,1591,1,-14,0,-13,-13,0,4270,2391,6000,305,37,-0.05551,-0.031083
1776839590.7877219,1591,1,-12,0,-13,-13,0,4270,2391,6000,305,37,-0.05551,-0.031083
1776839590.8880835,1591,1,8,0,-13,-14,0,4270,2391,6000,305,37,-0.05978,-0.031083
1776839590.9884584,1591,1,8,0,-13,-14,0,4270,2391,6000,305,37,-0.05978,-0.031083
1776839591.0886807,1591,1,8,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839591.1889687,1591,1,8,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839591.289236,1591,1,8,0,-15,-13,0,4270,2391,6000,306,37,-0.05551,-0.035865
1776839591.3897982,1591,1,14,0,-14,-13,0,4270,2391,6000,306,37,-0.05551,-0.033474
1776839591.490188,1591,1,18,0,-13,-13,0,4270,2391,6000,306,37,-0.05551,-0.031083
1776839591.590411,1591,1,22,0,-14,-13,0,4270,2391,6000,306,37,-0.05551,-0.033474
1776839591.6905532,1591,1,14,0,-14,-14,0,4270,2391,6000,305,37,-0.05978,-0.033474
1776839591.7907617,1591,1,18,0,-14,-14,0,4270,2391,6000,305,37,-0.05978,-0.033474
1776839591.8910174,1591,1,28,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839591.991424,1591,1,8,0,-14,-14,0,4270,2391,6000,305,37,-0.05978,-0.033474
1776839592.0914793,1591,1,12,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
1776839592.192032,1591,1,22,0,-13,-13,0,4270,2391,6000,306,37,-0.05551,-0.031083
1776839592.2924654,1591,1,18,0,-13,-13,0,4270,2391,6000,306,37,-0.05551,-0.031083
1776839592.3930857,1591,1,18,0,-14,-13,0,4270,2391,6000,305,37,-0.05551,-0.033474
